DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
69,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0192023,2022,1,4,1,1,TIDAK LAYAK,Tombol reset rusak,Perangkat Jaringan
70,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
71,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
72,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
73,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
74,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
75,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Belum didata,Perangkat Jaringan
76,MIKROTIK RB941-2ND-TC,Mikrotik,PRKMRK0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
77,MIKROTIK RB941-2ND-TC,Mikrotik,PRKMRK0022023,2024,3,3,2,3,KURANG LAYAK,Port 2 bermasalah,Perangkat Jaringan
78,MIKROTIK RB941-2ND-TC,Mikrotik,PRKMRK0032023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
79,MIKROTIK RB941-2ND,Mikrotik,PRKMRK0042023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
80,MIKROTIK RB941-2ND,Mikrotik,PRKMRK0052023,2022,1,4,1,1,TIDAK LAYAK,Tombol reset rusak,Perangkat Jaringan
81,MIKROTIK RB941-2ND,Mikrotik,PRKMRK0062023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
82,MIKROTIK RB941-2ND-TC,Mikrotik,PRKMRK0082023,2020,1,4,2,2,TIDAK LAYAK,Port 1 & 2 bermasalah,Perangkat Jaringan
83,MIKROTIK RB941-2ND-TC,Mikrotik,PRKMRK0092023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
84,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0032023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
85,MIKROTIK RB941-2ND-TC,Mikrotik,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
86,MIKROTIK RB941-2ND-TC,Mikrotik,USKMAMRK0182023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
87,SWITCH TP-LINK PORT 8,TP-Link,USKMASW0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
88,SWITCH TP-LINK PORT 8,TP-Link,USKMASW0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
89,SWITCH TP-LINK PORT 4,TP-Link,USKMASW0032023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
90,SWITCH MERCUSYS PORT 4,Mercusys,SW0012025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
91,SWITCH MERCUSYS PORT 4,Mercusys,SW0022025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
92,SWITCH MERCUSYS PORT 4,Mercusys,SW0032025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
93,SWITCH MERCUSYS PORT 4,Mercusys,SW0042025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
94,SWITCH MERCUSYS PORT 4,Mercusys,SW0052025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
95,SWITCH MERCUSYS PORT 4,Mercusys,SW0062025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
96,SWITCH MERCUSYS PORT 4,Mercusys,SW0072025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
97,SWITCH MERCUSYS PORT 4,Mercusys,SW0082025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
98,SWITCH MERCUSYS PORT 4,Mercusys,SW0092025,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
99,TANG KRIMPING HIJAU,—,USKMATK0012023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
100,TANG KRIMPING HIJAU,—,USKMATK002023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
101,TANG KRIMPING HIJAU,—,USKMATK0032023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
102,TANG KRIMPING HIJAU,—,USKMATK0042023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
103,TANG KRIMPING HIJAU,—,USKMATK0052023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
104,TANG KRIMPING HIJAU,—,USKMATK0062023,2024,3,4,2,2,KURANG LAYAK,—,Alat & Perkakas
105,TANG KRIMPING HIJAU,—,USKMATK0072023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
106,TANG KRIMPING HIJAU,—,USKMATK0082023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
107,TANG KRIMPING HIJAU,—,USKMATK0092023,2024,3,4,2,2,KURANG LAYAK,—,Alat & Perkakas
108,TANG KRIMPING HIJAU,—,USKMATK0102023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
109,TANG KRIMPING HIJAU,—,USKMATK0112023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
110,TANG KRIMPING HIJAU,—,PRKTK0012023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
111,TANG KRIMPING HIJAU,—,PRKTK002023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
112,TANG KRIMPING HIJAU,—,PRKTK0032023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
113,TANG KRIMPING HIJAU,—,PRKTK0042023,2020,1,6,1,1,TIDAK LAYAK,Tidak ada pisau,Alat & Perkakas
114,TANG KRIMPING HIJAU,—,PRKTK0052023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
115,TANG KRIMPING HIJAU,—,PRKTK0062023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
116,TANG KRIMPING HIJAU,—,PRKTK0072023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
117,TANG KRIMPING HIJAU,—,PRKTK0082023,2024,3,4,2,2,KURANG LAYAK,—,Alat & Perkakas
118,TANG KRIMPING HIJAU,—,PRKTK0092023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
119,TANG KRIMPING HIJAU,—,PRKTK0102023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
120,TANG KRIMPING HIJAU,—,PRKTK0112023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
121,TANG KRIMPING HIJAU,—,PRKTK0122023,2024,3,4,2,2,KURANG LAYAK,—,Alat & Perkakas
122,TANG KRIMPING HIJAU,—,PRKTK0132024,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
123,TANG KRIMPING BIRU,—,PRKTK0142024,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
124,TANG KRIMPING BIRU,—,PRKTK0152024,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
125,ROUTER AP TENDA N301,Tenda,USKMAAP0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
126,ROUTER AP TENDA N301,Tenda,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
127,ROUTER AP TENDA N301,Tenda,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
128,ROUTER AP TENDA N301,Tenda,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
129,ROUTER AP TENDA N301,Tenda,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
130,ROUTER AP TENDA N301,Tenda,USKMAAP0062023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
131,ROUTER AP TENDA N301,Tenda,USKMAAP0072023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
132,ROUTER AP TENDA N301,Tenda,USKMAAP0082023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
133,ROUTER AP TENDA N301,Tenda,USKMAAP0092023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
134,ROUTER AP TENDA N301,Tenda,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
135,ROUTER AP TENDA N301,Tenda,USKMAAP0112023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
136,ROUTER AP TENDA N301,Tenda,USKMAAP0122023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
137,ROUTER AP TP-LINK WA801N,TP-Link,PRKAP0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
138,ROUTER AP TP-LINK WA801ND,TP-Link,PRKAP0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
139,ROUTER WIFI D-LINK,D-Link,PRKRWFI0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
140,ROUTER WIFI FIBERHOME,FiberHome,PRKRWFI0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
141,LAN TASTER,—,USKMALT0012023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
142,LAN TASTER,—,USKMALT0022023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
143,LAN TASTER,—,USKMALT0032023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
144,LAN TASTER,—,USKMALT0042023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
145,LAN TASTER,—,USKMALT0052023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
146,LAN TASTER,—,USKMALT0062023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
147,LAN TASTER,—,USKMALT0072023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
148,LAN TASTER,—,USKMALT0082023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
149,LAN TASTER,—,USKMALT0092023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
150,LAN TASTER,—,USKMALT0102023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
151,LAN TASTER,—,USKMALT0112023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
152,LAN TASTER,—,USKMALT0132023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
153,LAN TASTER,—,USKMALT0142023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
